SearchDate,MonthYear,Institution,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total
May-18,05-2018,VSP,4,0,0,1,3,2,1,0,0,0,11
May-18,05-2018,WSP,17,0,0,1,0,2,3,0,0,0,23
Jun-18,06-2018,ASP,2,0,0,1,0,3,1,0,0,0,7
Jun-18,06-2018,CAC,25,0,0,0,1,1,0,0,0,0,27
Jun-18,06-2018,CAL,36,0,0,4,3,2,1,0,0,0,46
Jun-18,06-2018,CCC,52,0,0,1,25,6,13,0,0,0,97
Jun-18,06-2018,CCI,7,0,0,9,0,4,0,0,0,0,20
Jun-18,06-2018,CCWF,2,0,0,0,0,3,1,0,0,0,6
Jun-18,06-2018,CEN,24,0,0,3,11,3,1,0,0,0,42
Jun-18,06-2018,CHCF,19,0,0,0,15,2,7,0,0,0,43
Jun-18,06-2018,CIM,6,0,0,1,2,2,6,0,0,0,17
Jun-18,06-2018,CIW,3,0,0,1,0,4,0,0,0,0,8
Jun-18,06-2018,CMC,23,0,0,6,5,2,7,0,0,0,43
Jun-18,06-2018,CMF,20,0,0,1,1,0,2,0,0,0,24
Jun-18,06-2018,COR,22,0,0,6,1,2,3,0,0,0,34
Jun-18,06-2018,CRC,4,0,0,1,4,2,0,0,0,0,11
Jun-18,06-2018,CTF,14,0,0,3,5,5,0,0,0,0,27
Jun-18,06-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,DVI,1,0,0,0,3,0,1,0,0,0,5
Jun-18,06-2018,FOL,18,0,0,1,4,3,0,0,0,0,26
Jun-18,06-2018,HDSP,1,0,0,0,4,3,0,1,0,0,9
Jun-18,06-2018,ISP,12,0,0,5,5,3,0,0,0,0,25
Jun-18,06-2018,KVSP,6,0,0,8,2,7,0,0,0,0,23
Jun-18,06-2018,LAC,36,0,0,13,10,1,7,1,0,0,68
Jun-18,06-2018,MCSP,4,0,0,2,0,0,1,0,0,0,7
