SearchDate,MonthYear,Institution,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total
Dec-20,12-2020,CAL,0.0,0.0,36.4,0.0,135.2,0.0,2.0,0.0,173.6
Dec-20,12-2020,CCC,0.0,0.0,0.0,147.78,48.3,0.0,0.0,0.0,196.07999999999998
Dec-20,12-2020,CCI,0.0,0.0,0.0,3.6,121.2,0.0,19.8,0.0,144.6
Dec-20,12-2020,CCWF,3.4,0.0,28.4,4450.2,251.4,0.0,0.0,0.0,4733.4
Dec-20,12-2020,CEN,0.0,0.0,7.9,0.2,35.2,0.0,0.0,0.0,43.300000000000004
Dec-20,12-2020,CHCF,0.0,0.0,0.0,0.0,65.098,0.0,0.0,0.0,65.098
Dec-20,12-2020,CIM,0.0,0.0,0.1,75.8,124.4,0.0,1.8,0.0,202.10000000000002
Dec-20,12-2020,CIW,0.0,0.0,0.0,4.2,28.9,0.0,1.7,0.0,34.800000000000004
Dec-20,12-2020,CMC,0.0,0.0,0.0,8.0,0.0,0.0,0.02,0.0,8.02
Dec-20,12-2020,CMF,0.0,0.0,5.31,4.72,17.5,0.0,0.21,0.0,27.740000000000002
Dec-20,12-2020,COR,0.0,0.0,2.4,24.8,160.1,0.0,0.3,0.0,187.6
Dec-20,12-2020,CRC,0.0,0.0,0.0,93.3,83.9,0.0,0.0,0.0,177.2
Dec-20,12-2020,CTF,0.0,0.0,0.0,7.82,61.63,0.0,2.0,0.0,71.45
Dec-20,12-2020,CVSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,DVI,0.0,0.0,2.0,100.9,2.0,0.0,0.0,0.0,104.9
Dec-20,12-2020,FOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,HDSP,0.0,0.0,2.2,0.0,111.0,0.0,5.0,0.0,118.2
Dec-20,12-2020,ISP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,KVSP,0.0,0.0,12.6,189.6,19.89,0.0,0.0,0.0,222.08999999999997
Dec-20,12-2020,LAC,0.0,0.0,52.5,15.6,71.0,0.0,0.0,0.0,139.1
Dec-20,12-2020,MCSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,NKSP,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6
Dec-20,12-2020,PBSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,PVSP,0.0,0.0,19.38,0.0,23.89,0.0,0.0,0.0,43.269999999999996
Dec-20,12-2020,RJD,0.0,0.0,112.0,0.2,89.6,0.0,0.0,0.0,201.8
Dec-20,12-2020,SAC,0.0,0.0,128.25,105.74000000000001,72.76,0.0,0.0,0.0,306.75
Dec-20,12-2020,SATF,0.0,0.0,1.2,0.0,424.5,45.3,0.0,0.0,471.0
Dec-20,12-2020,SCC,0.0,0.0,1.1,917.8,50.5,0.0,7.0,0.0,976.4
Dec-20,12-2020,SOL,0.0,0.0,1.1,0.4,1.0,0.0,0.0,0.0,2.5
Dec-20,12-2020,SQ,0.0,0.0,31.33,0.0,57.87,0.0,0.08,0.0,89.27999999999999
Dec-20,12-2020,SVSP,0.0,0.0,0.0,34.660000000000004,56.24,26.81,0.53,0.0,118.24000000000001
Dec-20,12-2020,VSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec-20,12-2020,WSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
