SearchDate,MonthYear,Institution,CellPhone_Disc,CellPhone_Amnt,Cocaine_Disc,Cocaine_Amnt (Grams),Hash_Disc,Hash_Amnt (Grams),Heroin_Disc,Heroin_Amnt (Grams),Marijuana_Disc,Marijuana_Amnt (Grams),Methamphetamine_Disc,Methamphetamine_Amnt (Grams),Tobacco_Disc,Tobacco_Amnt (Grams),ButaneHoneyOil_Disc,ButaneHoneyOil_Amnt (Grams),Suboxone_Disc,Suboxone_Amnt (Grams),Fentanyl_Disc,Fentanyl_Amnt (Grams)
May-18,05-2018,CCC,0,0,0,0,0,0,0,0,1,79.3,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CCI,2,11,0,0,0,0,2,12.19,1,1.56,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CEN,1,1,0,0,0,0,0,0,2,81.5,1,18.7,0,0,0,0,0,0,0,0
May-18,05-2018,CHCF,2,2,0,0,0,0,0,0,0,0,0,0,1,15.88,0,0,0,0,0,0
May-18,05-2018,CIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CIW,1,1,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0,0,0
May-18,05-2018,CMC,4,5,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0
May-18,05-2018,CMF,4,24,0,0,0,0,0,0,2,54.02,0,0,2,1122,0,0,0,0,0,0
May-18,05-2018,COR,5,25,0,0,0,0,3,7,6,28.9,1,0.2,6,787.8,0,0,0,0,0,0
May-18,05-2018,CRC,3,6,0,0,0,0,1,0.3,1,1.6,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,CTF,5,7,0,0,0,0,0,0,1,10.1,8,11.61,0,0,0,0,0,0,0,0
May-18,05-2018,CVSP,0,0,0,0,0,0,0,0,0,0,1,20.6,0,0,0,0,0,0,0,0
May-18,05-2018,DVI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,FOL,0,0,0,0,0,0,1,12.9,2,89.9,0,0,1,41.3,0,0,0,0,0,0
May-18,05-2018,HDSP,0,0,0,0,0,0,1,0.1,2,161.6,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,ISP,3,4,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0
May-18,05-2018,KVSP,4,19,0,0,0,0,2,0.2,1,96.8,0,0,1,1356,0,0,0,0,0,0
May-18,05-2018,LAC,1,2,0,0,0,0,0,0,5,64,2,7.6,1,4.1,0,0,0,0,0,0
May-18,05-2018,MCSP,1,1,0,0,0,0,0,0,2,70.2,0,0,2,136,0,0,0,0,0,0
May-18,05-2018,NKSP,0,0,0,0,0,0,1,16,2,24.7,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,PVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,RJD,4,6,0,0,0,0,0,0,1,15.9,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,SAC,7,13,0,0,1,10.68,1,0.51,1,2.33,1,1.81,0,0,0,0,0,0,0,0
May-18,05-2018,SATF,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,SCC,1,1,0,0,0,0,1,0.7,3,8.8,1,17.2,1,114.3,0,0,0,0,0,0
May-18,05-2018,SOL,0,0,0,0,0,0,0,0,1,2,1,0.5,1,226.8,0,0,0,0,0,0
May-18,05-2018,SQ,2,2,0,0,0,0,1,0.17,0,0,2,1.25,0,0,0,0,0,0,0,0
May-18,05-2018,SVSP,1,7,0,0,0,0,1,7,2,906,1,2,0,0,0,0,0,0,0,0
May-18,05-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-18,05-2018,WSP,6,21,0,0,0,0,0,0,0,0,0,0,1,200.55,0,0,0,0,0,0
Jun-18,06-2018,ASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CAC,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CAL,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CCC,10,46,0,0,0,0,0,0,13,207.3,4,5.4,11,5711.4,0,0,0,0,0,0
Jun-18,06-2018,CCI,2,2,0,0,0,0,5,14.39,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CEN,5,8,0,0,0,0,0,0,1,91.1,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CHCF,5,9,0,0,0,0,0,0,3,9.07,1,0.74,3,128.31,0,0,0,0,0,0
Jun-18,06-2018,CIM,0,0,0,0,0,0,0,0,0,0,0,0,2,5008.916,0,0,0,0,0,0
Jun-18,06-2018,CIW,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CMC,3,15,0,0,0,0,0,0,2,6.4,0,0,4,6515.04,0,0,0,0,0,0
Jun-18,06-2018,CMF,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Jun-18,06-2018,COR,2,8,0,0,0,0,1,3.6,0,0,0,0,2,32.8,0,0,0,0,0,0
Jun-18,06-2018,CRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,CTF,1,1,0,0,0,0,1,5.84,1,4.88,3,7.09,0,0,0,0,0,0,0,0
Jun-18,06-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,DVI,0,0,0,0,0,0,0,0,1,7.7,0,0,1,1,0,0,0,0,0,0
Jun-18,06-2018,FOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,HDSP,0,0,0,0,0,0,0,0,3,5.3,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,ISP,1,1,0,0,0,0,1,27.91,1,36.7,1,24.81,0,0,0,0,0,0,0,0
Jun-18,06-2018,KVSP,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,LAC,6,9,0,0,0,0,1,0.6,3,5.5,1,5,4,6.7,0,0,0,0,0,0
Jun-18,06-2018,MCSP,1,3,0,0,0,0,0,0,0,0,0,0,1,219,0,0,0,0,0,0
Jun-18,06-2018,NKSP,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,PBSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,PVSP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,RJD,4,7,0,0,0,0,3,1.6,3,5.4,2,2.6,1,1.9,0,0,0,0,0,0
Jun-18,06-2018,SAC,12,32,0,0,0,0,2,34.84,0,0,1,1.62,4,140.7,0,0,0,0,0,0
Jun-18,06-2018,SATF,5,8,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0
Jun-18,06-2018,SCC,3,4,0,0,0,0,0,0,1,0.2,1,0.3,2,214.2,0,0,0,0,0,0
Jun-18,06-2018,SOL,1,1,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,SQ,4,7,0,0,0,0,7,18.83,7,12.4,7,17.22,4,231.88,0,0,0,0,0,0
Jun-18,06-2018,SVSP,5,6,1,1,0,0,0,0,2,5.4,0,0,2,88.9,0,0,0,0,0,0
Jun-18,06-2018,VSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-18,06-2018,WSP,4,16,0,0,0,0,0,0,0,0,1,965.8,2,1028.06,0,0,0,0,0,0
Jul-18,07-2018,ASP,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CAC,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CAL,0,0,0,0,0,0,0,0,0,0,1,9.5,0,0,0,0,0,0,0,0
Jul-18,07-2018,CCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CCI,1,1,0,0,0,0,1,1.21,0,0,1,3.86,1,5,0,0,0,0,0,0
Jul-18,07-2018,CCWF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CEN,2,2,0,0,0,0,2,49.5,1,5.2,3,69.6,1,1.5,0,0,0,0,0,0
Jul-18,07-2018,CHCF,0,0,0,0,0,0,0,0,1,56.24,1,7.61,0,0,0,0,0,0,0,0
Jul-18,07-2018,CIM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CMC,2,10,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
Jul-18,07-2018,CMF,1,3,0,0,0,0,2,2.2,2,0.2,2,17.4,0,0,0,0,0,0,0,0
Jul-18,07-2018,COR,4,24,0,0,0,0,0,0,2,316,0,0,2,785,0,0,0,0,0,0
Jul-18,07-2018,CRC,1,1,0,0,0,0,0,0,2,947,0,0,0,0,0,0,0,0,0,0
Jul-18,07-2018,CTF,0,0,0,0,0,0,0,0,1,0.64,1,0.05,0,0,0,0,0,0,0,0
Jul-18,07-2018,CVSP,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
